anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA369AFC6B,27,28,1.8,-1.2,0.33,-21,-62,20BA3608EE7D,2026-01-28T11:54:17.406286Z
20BA369AFC6B,27,7,1.8,-1.2,0.33,-21,-56,20BA3608EE7D,2026-01-28T11:54:17.4524248Z
20BA369AFC6B,27,7,1.8,-1.2,0.33,-21,-56,20BA3608EE7D,2026-01-28T11:54:17.5177389Z
20BA369AFC6B,27,9,1.8,-1.2,0.33,-22,-59,20BA3608EE7D,2026-01-28T11:54:17.5824327Z
20BA369AFC6B,27,26,1.8,-1.2,0.33,-22,-63,20BA3608EE7D,2026-01-28T11:54:17.6165009Z
20BA369AFC6B,27,14,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:17.6863727Z
20BA369AFC6B,27,18,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:17.7121123Z
20BA369AFC6B,27,5,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:17.7679222Z
20BA369AFC6B,26,14,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:17.8129096Z
20BA369AFC6B,26,13,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:17.8599558Z
20BA369AFC6B,26,0,1.8,-1.2,0.33,-21,-57,20BA3608EE7D,2026-01-28T11:54:17.9084901Z
20BA369AFC6B,27,6,1.8,-1.2,0.33,-21,-57,20BA3608EE7D,2026-01-28T11:54:17.9549478Z
20BA369AFC6B,27,25,1.8,-1.2,0.33,-21,-63,20BA3608EE7D,2026-01-28T11:54:18.0381411Z
20BA369AFC6B,27,13,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.0599398Z
20BA369AFC6B,26,17,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.1291889Z
20BA369AFC6B,26,4,1.8,-1.2,0.33,-21,-58,20BA3608EE7D,2026-01-28T11:54:18.1617092Z
20BA369AFC6B,26,20,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.2127638Z
20BA369AFC6B,26,22,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.2601005Z
20BA369AFC6B,27,26,1.8,-1.2,0.33,-21,-63,20BA3608EE7D,2026-01-28T11:54:18.3108101Z
20BA369AFC6B,27,21,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.3896772Z
20BA369AFC6B,26,21,1.8,-1.2,0.33,-21,-60,20BA3608EE7D,2026-01-28T11:54:18.4058312Z
20BA369AFC6B,26,7,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:18.4877101Z
20BA369AFC6B,26,7,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:18.5058965Z
20BA369AFC6B,26,15,1.8,-1.2,0.33,-21,-59,20BA3608EE7D,2026-01-28T11:54:18.5690453Z
20BA369AFC6B,26,34,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:18.6177919Z
20BA369AFC6B,26,8,1.8,-1.2,0.33,-22,-59,20BA3608EE7D,2026-01-28T11:54:18.677335Z
20BA369AFC6B,26,8,1.8,-1.2,0.33,-22,-59,20BA3608EE7D,2026-01-28T11:54:18.7210662Z
20BA369AFC6B,26,16,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:18.7610557Z
20BA369AFC6B,26,11,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:18.8096362Z
20BA369AFC6B,26,35,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:18.8605303Z
20BA369AFC6B,26,36,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:18.9441699Z
20BA369AFC6B,26,6,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:18.9552699Z
20BA369AFC6B,26,4,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:19.0318619Z
20BA369AFC6B,27,4,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:19.0633153Z
20BA369AFC6B,26,13,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.1286799Z
20BA369AFC6B,26,0,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:19.1591453Z
20BA369AFC6B,27,0,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:19.2146168Z
20BA369AFC6B,27,31,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.2539316Z
20BA369AFC6B,26,18,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.3096399Z
20BA369AFC6B,26,27,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:19.3627544Z
20BA369AFC6B,26,27,1.8,-1.2,0.33,-21,-61,20BA3608EE7D,2026-01-28T11:54:19.4154689Z
20BA369AFC6B,27,33,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.485972Z
20BA369AFC6B,27,35,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.5135355Z
20BA369AFC6B,27,20,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.5804561Z
20BA369AFC6B,26,13,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.6255343Z
20BA369AFC6B,27,25,1.8,-1.2,0.33,-22,-63,20BA3608EE7D,2026-01-28T11:54:19.6582706Z
20BA369AFC6B,27,29,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:19.7097302Z
20BA369AFC6B,27,24,1.8,-1.2,0.33,-22,-66,20BA3608EE7D,2026-01-28T11:54:19.7571818Z
20BA369AFC6B,27,5,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:19.8369658Z
20BA369AFC6B,27,23,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.8561137Z
20BA369AFC6B,27,20,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.9337477Z
20BA369AFC6B,27,14,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:19.9520145Z
20BA369AFC6B,27,13,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:20.0317327Z
20BA369AFC6B,27,13,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:20.0481785Z
20BA369AFC6B,27,24,1.8,-1.2,0.33,-22,-63,20BA3608EE7D,2026-01-28T11:54:20.1311898Z
20BA369AFC6B,27,16,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:20.1685909Z
20BA369AFC6B,26,15,1.8,-1.2,0.33,-22,-59,20BA3608EE7D,2026-01-28T11:54:20.2124546Z
20BA369AFC6B,26,13,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:20.2639141Z
20BA369AFC6B,26,33,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:20.3106043Z
20BA369AFC6B,26,28,1.8,-1.2,0.33,-22,-62,20BA3608EE7D,2026-01-28T11:54:20.4081957Z
20BA369AFC6B,26,5,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:20.4742Z
20BA369AFC6B,27,0,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:20.5085729Z
20BA369AFC6B,27,23,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:20.5749925Z
20BA369AFC6B,27,32,1.8,-1.2,0.33,-22,-60,20BA3608EE7D,2026-01-28T11:54:20.6136926Z
20BA369AFC6B,27,5,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:20.6702543Z
20BA369AFC6B,27,5,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:20.7063641Z
20BA369AFC6B,27,4,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:20.7553216Z
20BA369AFC6B,27,4,1.8,-1.2,0.33,-22,-57,20BA3608EE7D,2026-01-28T11:54:20.8183884Z
20BA369AFC6B,27,7,1.8,-1.2,0.33,-22,-58,20BA3608EE7D,2026-01-28T11:54:20.8607788Z
20BA369AFC6B,27,36,1.8,-1.2,0.33,-22,-61,20BA3608EE7D,2026-01-28T11:54:20.9361729Z
20BA369AFC6B,27,35,1.8,-1.2,0.33,-22,-64,20BA3608EE7D,2026-01-28T11:54:20.9621559Z
