anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA369AFC6B,9,17,1.8,-4.2,0.33,-2,-64,20BA3608EE7D,2026-01-28T11:59:51.8017746Z
20BA369AFC6B,9,10,1.8,-4.2,0.33,-2,-70,20BA3608EE7D,2026-01-28T11:59:51.8303754Z
20BA369AFC6B,9,4,1.8,-4.2,0.33,-2,-65,20BA3608EE7D,2026-01-28T11:59:51.8769237Z
20BA369AFC6B,8,21,1.8,-4.2,0.33,-2,-65,20BA3608EE7D,2026-01-28T11:59:51.9304173Z
20BA369AFC6B,9,28,1.8,-4.2,0.33,-1,-75,20BA3608EE7D,2026-01-28T11:59:51.9764915Z
20BA369AFC6B,8,22,1.8,-4.2,0.33,-1,-65,20BA3608EE7D,2026-01-28T11:59:52.0281884Z
20BA369AFC6B,8,18,1.8,-4.2,0.33,-2,-63,20BA3608EE7D,2026-01-28T11:59:52.1205354Z
20BA369AFC6B,8,36,1.8,-4.2,0.33,-1,-67,20BA3608EE7D,2026-01-28T11:59:52.1833907Z
20BA369AFC6B,9,13,1.8,-4.2,0.33,-2,-68,20BA3608EE7D,2026-01-28T11:59:52.2295879Z
20BA369AFC6B,9,32,1.8,-4.2,0.33,-1,-71,20BA3608EE7D,2026-01-28T11:59:52.2785247Z
20BA369AFC6B,9,35,1.8,-4.2,0.33,-1,-68,20BA3608EE7D,2026-01-28T11:59:52.3283205Z
20BA369AFC6B,9,7,1.8,-4.2,0.33,-2,-66,20BA3608EE7D,2026-01-28T11:59:52.3868408Z
20BA369AFC6B,9,14,1.8,-4.2,0.33,-2,-66,20BA3608EE7D,2026-01-28T11:59:52.4192454Z
20BA369AFC6B,9,18,1.8,-4.2,0.33,-2,-62,20BA3608EE7D,2026-01-28T11:59:52.4838793Z
20BA369AFC6B,8,23,1.8,-4.2,0.33,-1,-66,20BA3608EE7D,2026-01-28T11:59:52.5367138Z
20BA369AFC6B,9,30,1.8,-4.2,0.33,-1,-76,20BA3608EE7D,2026-01-28T11:59:52.5652412Z
20BA369AFC6B,8,1,1.8,-4.2,0.33,-2,-62,20BA3608EE7D,2026-01-28T11:59:52.6334914Z
20BA369AFC6B,8,7,1.8,-4.2,0.33,-2,-66,20BA3608EE7D,2026-01-28T11:59:52.6785182Z
20BA369AFC6B,8,19,1.8,-4.2,0.33,-2,-64,20BA3608EE7D,2026-01-28T11:59:52.7296832Z
20BA369AFC6B,8,4,1.8,-4.2,0.33,-2,-65,20BA3608EE7D,2026-01-28T11:59:52.7920956Z
20BA369AFC6B,7,4,1.8,-4.2,0.33,-2,-65,20BA3608EE7D,2026-01-28T11:59:52.8287083Z
20BA369AFC6B,7,6,1.8,-4.2,0.33,-3,-65,20BA3608EE7D,2026-01-28T11:59:52.8818739Z
20BA369AFC6B,8,11,1.8,-4.2,0.33,-3,-73,20BA3608EE7D,2026-01-28T11:59:52.9330223Z
20BA369AFC6B,8,3,1.8,-4.2,0.33,-3,-65,20BA3608EE7D,2026-01-28T11:59:52.9816136Z
20BA369AFC6B,8,11,1.8,-4.2,0.33,-4,-73,20BA3608EE7D,2026-01-28T11:59:53.0302075Z
20BA369AFC6B,9,11,1.8,-4.2,0.33,-4,-73,20BA3608EE7D,2026-01-28T11:59:53.0782915Z
20BA369AFC6B,9,4,1.8,-4.2,0.33,-4,-65,20BA3608EE7D,2026-01-28T11:59:53.1254296Z
20BA369AFC6B,9,30,1.8,-4.2,0.33,-4,-77,20BA3608EE7D,2026-01-28T11:59:53.1950934Z
20BA369AFC6B,9,13,1.8,-4.2,0.33,-4,-67,20BA3608EE7D,2026-01-28T11:59:53.2221524Z
