anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA369AFC6B,41,25,1.2,-1.2,0.73,-24,-66,20BA3608EE7D,2026-01-27T10:54:53.2014358Z
20BA369AFC6B,43,17,1.2,-1.2,0.73,-24,-64,20BA3608EE7D,2026-01-27T10:54:53.2361824Z
20BA369AFC6B,40,22,1.2,-1.2,0.73,-24,-62,20BA3608EE7D,2026-01-27T10:54:53.2902445Z
20BA369AFC6B,39,36,1.2,-1.2,0.73,-23,-62,20BA3608EE7D,2026-01-27T10:54:53.3402169Z
20BA369AFC6B,38,20,1.2,-1.2,0.73,-23,-63,20BA3608EE7D,2026-01-27T10:54:53.4366455Z
20BA369AFC6B,39,15,1.2,-1.2,0.73,-23,-64,20BA3608EE7D,2026-01-27T10:54:53.450094Z
20BA369AFC6B,41,16,1.2,-1.2,0.73,-24,-65,20BA3608EE7D,2026-01-27T10:54:53.5200358Z
20BA369AFC6B,42,11,1.2,-1.2,0.73,-24,-61,20BA3608EE7D,2026-01-27T10:54:53.5422086Z
20BA369AFC6B,43,12,1.2,-1.2,0.73,-23,-62,20BA3608EE7D,2026-01-27T10:54:53.5921691Z
20BA369AFC6B,45,16,1.2,-1.2,0.73,-24,-65,20BA3608EE7D,2026-01-27T10:54:53.6377436Z
20BA369AFC6B,42,20,1.2,-1.2,0.73,-24,-63,20BA3608EE7D,2026-01-27T10:54:53.6854591Z
20BA369AFC6B,43,3,1.2,-1.2,0.73,-24,-73,20BA3608EE7D,2026-01-27T10:54:53.7339406Z
20BA369AFC6B,44,10,1.2,-1.2,0.73,-24,-64,20BA3608EE7D,2026-01-27T10:54:53.7839328Z
20BA369AFC6B,42,18,1.2,-1.2,0.73,-23,-63,20BA3608EE7D,2026-01-27T10:54:53.8402997Z
20BA369AFC6B,41,26,1.2,-1.2,0.73,-24,-68,20BA3608EE7D,2026-01-27T10:54:53.8891379Z
20BA369AFC6B,40,26,1.2,-1.2,0.73,-24,-68,20BA3608EE7D,2026-01-27T10:54:53.9427064Z
20BA369AFC6B,40,0,1.2,-1.2,0.73,-25,-65,20BA3608EE7D,2026-01-27T10:54:53.9895226Z
20BA369AFC6B,40,36,1.2,-1.2,0.73,-24,-61,20BA3608EE7D,2026-01-27T10:54:54.0419245Z
20BA369AFC6B,39,28,1.2,-1.2,0.73,-24,-66,20BA3608EE7D,2026-01-27T10:54:54.0951903Z
20BA369AFC6B,38,28,1.2,-1.2,0.73,-24,-68,20BA3608EE7D,2026-01-27T10:54:54.1726371Z
20BA369AFC6B,35,18,1.2,-1.2,0.73,-24,-63,20BA3608EE7D,2026-01-27T10:54:54.1997692Z
20BA369AFC6B,36,10,1.2,-1.2,0.73,-24,-64,20BA3608EE7D,2026-01-27T10:54:54.2367322Z
20BA369AFC6B,36,30,1.2,-1.2,0.73,-24,-69,20BA3608EE7D,2026-01-27T10:54:54.2838065Z
20BA369AFC6B,37,9,1.2,-1.2,0.73,-24,-65,20BA3608EE7D,2026-01-27T10:54:54.3452213Z
20BA369AFC6B,39,10,1.2,-1.2,0.73,-23,-64,20BA3608EE7D,2026-01-27T10:54:54.3930347Z
20BA369AFC6B,33,17,1.2,-1.2,0.73,-21,-65,20BA3608EE7D,2026-01-27T10:54:54.4493164Z
20BA369AFC6B,34,3,1.2,-1.2,0.73,-21,-72,20BA3608EE7D,2026-01-27T10:54:54.4922894Z
20BA369AFC6B,35,13,1.2,-1.2,0.73,-21,-62,20BA3608EE7D,2026-01-27T10:54:54.5324559Z
20BA369AFC6B,35,34,1.2,-1.2,0.73,-21,-64,20BA3608EE7D,2026-01-27T10:54:54.5929187Z
20BA369AFC6B,35,8,1.2,-1.2,0.73,-21,-65,20BA3608EE7D,2026-01-27T10:54:54.6333057Z
20BA369AFC6B,36,7,1.2,-1.2,0.73,-20,-66,20BA3608EE7D,2026-01-27T10:54:54.6871364Z
20BA369AFC6B,37,7,1.2,-1.2,0.73,-20,-66,20BA3608EE7D,2026-01-27T10:54:54.7455914Z
20BA369AFC6B,38,5,1.2,-1.2,0.73,-20,-71,20BA3608EE7D,2026-01-27T10:54:54.7899353Z
20BA369AFC6B,34,18,1.2,-1.8,0.73,-24,-60,20BA3608EE7D,2026-01-27T10:55:05.5963964Z
20BA369AFC6B,33,0,1.2,-1.8,0.73,-24,-62,20BA3608EE7D,2026-01-27T10:55:05.6372602Z
20BA369AFC6B,33,15,1.2,-1.8,0.73,-24,-59,20BA3608EE7D,2026-01-27T10:55:05.7015881Z
20BA369AFC6B,33,2,1.2,-1.8,0.73,-24,-63,20BA3608EE7D,2026-01-27T10:55:05.7299982Z
20BA369AFC6B,32,16,1.2,-1.8,0.73,-24,-60,20BA3608EE7D,2026-01-27T10:55:05.7927131Z
20BA369AFC6B,32,25,1.2,-1.8,0.73,-24,-61,20BA3608EE7D,2026-01-27T10:55:05.8414648Z
20BA369AFC6B,33,8,1.2,-1.8,0.73,-24,-61,20BA3608EE7D,2026-01-27T10:55:05.8914985Z
20BA369AFC6B,33,19,1.2,-1.8,0.73,-24,-62,20BA3608EE7D,2026-01-27T10:55:05.9407346Z
20BA369AFC6B,33,4,1.2,-1.8,0.73,-24,-66,20BA3608EE7D,2026-01-27T10:55:05.9876327Z
20BA369AFC6B,33,19,1.2,-1.8,0.73,-24,-62,20BA3608EE7D,2026-01-27T10:55:06.0392837Z
20BA369AFC6B,34,24,1.2,-1.8,0.73,-25,-62,20BA3608EE7D,2026-01-27T10:55:06.0890209Z
