anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA36977463,2,27,0,-0.6,0.73,-52,-55,20BA3608EE7D,2026-01-29T09:42:02.5666825Z
20BA36977463,4,21,0,-0.6,0.73,-51,-59,20BA3608EE7D,2026-01-29T09:42:02.7708145Z
20BA36977463,4,20,0,-0.6,0.73,-52,-58,20BA3608EE7D,2026-01-29T09:42:03.1664105Z
20BA36977463,6,30,0,-0.6,0.73,-52,-57,20BA3608EE7D,2026-01-29T09:42:03.3873264Z
20BA36977463,6,29,0,-0.6,0.73,-52,-57,20BA3608EE7D,2026-01-29T09:42:03.4506219Z
20BA36977463,7,34,0,-0.6,0.73,-50,-53,20BA3608EE7D,2026-01-29T09:42:03.6724461Z
20BA36977463,8,9,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:03.9503356Z
20BA36977463,9,8,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:04.1716597Z
20BA36977463,8,34,0,-0.6,0.73,-49,-53,20BA3608EE7D,2026-01-29T09:42:04.4401966Z
20BA36977463,8,23,0,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:42:04.6855284Z
20BA36977463,10,0,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:04.9375408Z
20BA36977463,10,29,0,-0.6,0.73,-50,-57,20BA3608EE7D,2026-01-29T09:42:05.1735385Z
20BA36977463,10,10,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:05.4272099Z
20BA36977463,10,9,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:05.9455498Z
20BA36977463,9,26,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:06.1828535Z
20BA36977463,9,33,0,-0.6,0.73,-48,-54,20BA3608EE7D,2026-01-29T09:42:06.4232645Z
20BA36977463,9,17,0,-0.6,0.73,-50,-55,20BA3608EE7D,2026-01-29T09:42:06.9308211Z
20BA36977463,9,7,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:07.4694236Z
20BA36977463,10,7,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:07.8848114Z
20BA36977463,10,11,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:07.9972789Z
20BA36977463,9,25,0,-0.6,0.73,-48,-55,20BA3608EE7D,2026-01-29T09:42:08.1876171Z
20BA36977463,9,27,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:08.4826054Z
20BA36977463,9,26,0,-0.6,0.73,-49,-56,20BA3608EE7D,2026-01-29T09:42:08.6799849Z
20BA36977463,9,36,0,-0.6,0.73,-50,-52,20BA3608EE7D,2026-01-29T09:42:08.9391981Z
20BA36977463,9,10,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:09.1812692Z
20BA36977463,10,15,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:09.434504Z
20BA36977463,10,7,0,-0.6,0.73,-50,-53,20BA3608EE7D,2026-01-29T09:42:09.679781Z
20BA36977463,9,23,0,-0.6,0.73,-49,-56,20BA3608EE7D,2026-01-29T09:42:10.0463325Z
20BA36977463,9,17,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:10.1765801Z
20BA36977463,9,16,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:10.4361153Z
20BA36977463,9,14,0,-0.6,0.73,-50,-55,20BA3608EE7D,2026-01-29T09:42:10.683907Z
20BA36977463,9,19,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:10.9409775Z
20BA36977463,9,20,0,-0.6,0.73,-51,-58,20BA3608EE7D,2026-01-29T09:42:11.1866045Z
20BA36977463,10,3,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:11.4414107Z
20BA36977463,9,24,0,-0.6,0.73,-50,-58,20BA3608EE7D,2026-01-29T09:42:11.6813232Z
20BA36977463,9,33,0,-0.6,0.73,-48,-54,20BA3608EE7D,2026-01-29T09:42:11.9868186Z
20BA36977463,10,4,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:12.1831779Z
20BA36977463,10,20,0,-0.6,0.73,-49,-58,20BA3608EE7D,2026-01-29T09:42:12.5208883Z
20BA36977463,9,31,0,-0.6,0.73,-48,-56,20BA3608EE7D,2026-01-29T09:42:12.6858538Z
20BA36977463,9,28,0,-0.6,0.73,-49,-57,20BA3608EE7D,2026-01-29T09:42:13.125548Z
20BA36977463,9,10,0,-0.6,0.73,-50,-55,20BA3608EE7D,2026-01-29T09:42:13.1747787Z
20BA36977463,9,32,0,-0.6,0.73,-48,-56,20BA3608EE7D,2026-01-29T09:42:13.4344242Z
20BA36977463,9,30,0,-0.6,0.73,-49,-57,20BA3608EE7D,2026-01-29T09:42:13.6866782Z
20BA36977463,9,25,0,-0.6,0.73,-48,-55,20BA3608EE7D,2026-01-29T09:42:13.937948Z
20BA36977463,9,3,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:14.1783975Z
20BA36977463,10,4,0,-0.6,0.73,-50,-55,20BA3608EE7D,2026-01-29T09:42:14.4245704Z
20BA36977463,10,28,0,-0.6,0.73,-51,-57,20BA3608EE7D,2026-01-29T09:42:14.7045666Z
20BA36977463,10,9,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:15.0624584Z
20BA36977463,11,10,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:15.4295919Z
20BA36977463,10,17,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:15.6708565Z
20BA36977463,11,3,0,-0.6,0.73,-52,-54,20BA3608EE7D,2026-01-29T09:42:15.9414748Z
20BA36977463,11,11,0,-0.6,0.73,-52,-54,20BA3608EE7D,2026-01-29T09:42:16.1853025Z
20BA36977463,10,21,0,-0.6,0.73,-51,-59,20BA3608EE7D,2026-01-29T09:42:16.4269816Z
20BA36977463,10,19,0,-0.6,0.73,-52,-56,20BA3608EE7D,2026-01-29T09:42:16.6741267Z
20BA36977463,11,13,0,-0.6,0.73,-52,-55,20BA3608EE7D,2026-01-29T09:42:16.9361344Z
20BA36977463,10,20,0,-0.6,0.73,-52,-58,20BA3608EE7D,2026-01-29T09:42:17.1783506Z
20BA36977463,11,9,0,-0.6,0.73,-51,-53,20BA3608EE7D,2026-01-29T09:42:17.4396061Z
20BA36977463,10,27,0,-0.6,0.73,-52,-55,20BA3608EE7D,2026-01-29T09:42:17.6791288Z
20BA36977463,10,24,0,-0.6,0.73,-50,-57,20BA3608EE7D,2026-01-29T09:42:17.9655826Z
20BA36977463,9,22,0,-0.6,0.73,-49,-58,20BA3608EE7D,2026-01-29T09:42:18.1829064Z
20BA36977463,9,25,0,-0.6,0.73,-49,-56,20BA3608EE7D,2026-01-29T09:42:18.4298087Z
20BA36977463,9,7,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:18.6756279Z
20BA36977463,10,8,0,-0.6,0.73,-49,-56,20BA3608EE7D,2026-01-29T09:42:18.9366763Z
20BA36977463,11,0,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:19.181847Z
20BA36977463,10,22,0,-0.6,0.73,-49,-59,20BA3608EE7D,2026-01-29T09:42:19.4307538Z
20BA36977463,11,7,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:19.693409Z
20BA36977463,10,29,0,-0.6,0.73,-50,-57,20BA3608EE7D,2026-01-29T09:42:19.9307935Z
20BA36977463,9,24,0,-0.6,0.73,-49,-57,20BA3608EE7D,2026-01-29T09:42:20.1784043Z
20BA36977463,10,9,0,-0.6,0.73,-49,-53,20BA3608EE7D,2026-01-29T09:42:20.4324374Z
20BA36977463,10,11,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:20.6780751Z
20BA36977463,10,4,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:20.9896294Z
20BA36977463,10,32,0,-0.6,0.73,-48,-55,20BA3608EE7D,2026-01-29T09:42:21.1805855Z
20BA36977463,10,8,0,-0.6,0.73,-48,-54,20BA3608EE7D,2026-01-29T09:42:21.6752077Z
20BA36977463,10,18,0,-0.6,0.73,-49,-53,20BA3608EE7D,2026-01-29T09:42:21.9529948Z
20BA36977463,9,15,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:22.1863185Z
20BA36977463,10,6,0,-0.6,0.73,-48,-54,20BA3608EE7D,2026-01-29T09:42:22.6154399Z
20BA36977463,10,2,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:22.6808576Z
20BA36977463,12,0,0,-0.6,0.73,-50,-55,20BA3608EE7D,2026-01-29T09:42:22.9411433Z
20BA36977463,11,29,0,-0.6,0.73,-50,-57,20BA3608EE7D,2026-01-29T09:42:23.1794196Z
20BA36977463,11,31,0,-0.6,0.73,-50,-56,20BA3608EE7D,2026-01-29T09:42:23.6344539Z
20BA36977463,10,21,0,-0.6,0.73,-49,-59,20BA3608EE7D,2026-01-29T09:42:23.6812866Z
20BA36977463,9,31,0,-0.6,0.73,-49,-56,20BA3608EE7D,2026-01-29T09:42:23.9366887Z
20BA36977463,9,22,0,-0.6,0.73,-47,-58,20BA3608EE7D,2026-01-29T09:42:24.1836074Z
20BA36977463,8,32,0,-0.6,0.73,-46,-55,20BA3608EE7D,2026-01-29T09:42:24.4374395Z
20BA36977463,9,11,0,-0.6,0.73,-47,-54,20BA3608EE7D,2026-01-29T09:42:24.6835754Z
20BA36977463,10,2,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:24.9406103Z
20BA36977463,10,34,0,-0.6,0.73,-48,-53,20BA3608EE7D,2026-01-29T09:42:25.1814535Z
20BA36977463,11,3,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:25.438151Z
20BA36977463,10,28,0,-0.6,0.73,-49,-57,20BA3608EE7D,2026-01-29T09:42:25.6847655Z
20BA36977463,10,22,0,-0.6,0.73,-48,-58,20BA3608EE7D,2026-01-29T09:42:25.9373993Z
20BA36977463,10,12,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:26.181555Z
20BA36977463,10,6,0,-0.6,0.73,-49,-54,20BA3608EE7D,2026-01-29T09:42:26.4404958Z
20BA36977463,11,12,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:26.6858376Z
20BA36977463,10,21,0,-0.6,0.73,-49,-59,20BA3608EE7D,2026-01-29T09:42:26.9326417Z
20BA36977463,10,24,0,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:42:27.1849549Z
20BA36977463,11,0,0,-0.6,0.73,-51,-58,20BA3608EE7D,2026-01-29T09:42:27.6863115Z
20BA36977463,12,0,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:27.9447539Z
20BA36977463,11,22,0,-0.6,0.73,-50,-59,20BA3608EE7D,2026-01-29T09:42:28.1840472Z
20BA36977463,12,1,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:28.4388039Z
20BA36977463,13,2,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:28.7821783Z
20BA36977463,13,9,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:28.9845185Z
20BA36977463,14,0,0,-0.6,0.73,-52,-55,20BA3608EE7D,2026-01-29T09:42:29.1723601Z
20BA36977463,12,31,0,-0.6,0.73,-51,-56,20BA3608EE7D,2026-01-29T09:42:29.4320352Z
20BA36977463,12,5,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:29.6773228Z
20BA36977463,12,2,0,-0.6,0.73,-51,-54,20BA3608EE7D,2026-01-29T09:42:29.9415791Z
20BA36977463,12,7,0,-0.6,0.73,-50,-54,20BA3608EE7D,2026-01-29T09:42:30.1768555Z
20BA36977463,12,29,0,-0.6,0.73,-51,-57,20BA3608EE7D,2026-01-29T09:42:30.4289055Z
20BA36977463,12,12,0,-0.6,0.73,-51,-55,20BA3608EE7D,2026-01-29T09:42:31.237508Z
20BA36977463,10,23,0,-0.6,0.73,-49,-57,20BA3608EE7D,2026-01-29T09:42:31.4298527Z
20BA36977463,10,22,0,-0.6,0.73,-48,-58,20BA3608EE7D,2026-01-29T09:42:31.6860031Z
20BA36977463,9,22,0,-0.6,0.73,-47,-59,20BA3608EE7D,2026-01-29T09:42:31.9293071Z
20BA36977463,9,33,0,-0.6,0.73,-46,-54,20BA3608EE7D,2026-01-29T09:42:32.185528Z
20BA36977463,9,32,0,-0.6,0.73,-45,-55,20BA3608EE7D,2026-01-29T09:42:32.4386758Z
20BA36977463,9,16,0,-0.6,0.73,-46,-55,20BA3608EE7D,2026-01-29T09:42:32.7214236Z
20BA36977463,8,32,0,-0.6,0.73,-45,-55,20BA3608EE7D,2026-01-29T09:42:32.9395173Z
20BA36977463,8,14,0,-0.6,0.73,-46,-54,20BA3608EE7D,2026-01-29T09:42:33.1828734Z
20BA36977463,8,25,0,-0.6,0.73,-46,-55,20BA3608EE7D,2026-01-29T09:42:33.4364301Z
20BA36977463,8,21,0,-0.6,0.73,-47,-59,20BA3608EE7D,2026-01-29T09:42:33.6814224Z
20BA36977463,9,17,0,-0.6,0.73,-48,-55,20BA3608EE7D,2026-01-29T09:42:34.2085599Z
20BA36977463,9,30,0,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:42:34.4331891Z
20BA36977463,10,4,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:34.6909959Z
20BA36977463,9,23,0,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:42:34.9421148Z
20BA36977463,9,16,0,-0.6,0.73,-48,-55,20BA3608EE7D,2026-01-29T09:42:35.1792142Z
20BA36977463,10,8,0,-0.6,0.73,-48,-54,20BA3608EE7D,2026-01-29T09:42:35.6476617Z
20BA36977463,10,10,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:35.6863385Z
20BA36977463,9,22,0,-0.6,0.73,-48,-58,20BA3608EE7D,2026-01-29T09:42:35.9425312Z
20BA36977463,11,0,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:36.1886723Z
20BA36977463,10,16,0,-0.6,0.73,-49,-55,20BA3608EE7D,2026-01-29T09:42:36.4355669Z
20BA36977463,7,1,0,-1.2,0.73,-34,-60,20BA3608EE7D,2026-01-29T09:43:24.214095Z
20BA36977463,7,33,0,-1.2,0.73,-33,-60,20BA3608EE7D,2026-01-29T09:43:24.4541494Z
20BA36977463,7,35,0,-1.2,0.73,-33,-58,20BA3608EE7D,2026-01-29T09:43:24.7215652Z
20BA36977463,7,28,0,-1.2,0.73,-33,-58,20BA3608EE7D,2026-01-29T09:43:25.1065966Z
20BA36977463,7,34,0,-1.2,0.73,-33,-59,20BA3608EE7D,2026-01-29T09:43:25.2125766Z
20BA36977463,7,34,0,-1.2,0.73,-33,-59,20BA3608EE7D,2026-01-29T09:43:25.4445199Z
20BA36977463,7,10,0,-1.2,0.73,-34,-56,20BA3608EE7D,2026-01-29T09:43:25.7026443Z
20BA36977463,6,5,0,-1.2,0.73,-33,-56,20BA3608EE7D,2026-01-29T09:43:25.9878519Z
20BA36977463,7,29,0,-1.2,0.73,-34,-56,20BA3608EE7D,2026-01-29T09:43:26.2147531Z
20BA36977463,7,30,0,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-29T09:43:26.4647286Z
20BA36977463,7,26,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:26.7138359Z
20BA36977463,8,2,0,-1.2,0.73,-35,-59,20BA3608EE7D,2026-01-29T09:43:26.9407702Z
20BA36977463,8,31,0,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-29T09:43:27.1767725Z
20BA36977463,8,3,0,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-29T09:43:27.4767109Z
20BA36977463,7,23,0,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-29T09:43:27.7171358Z
20BA36977463,8,32,0,-1.2,0.73,-35,-61,20BA3608EE7D,2026-01-29T09:43:27.9591617Z
20BA36977463,7,24,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:28.2076909Z
20BA36977463,7,4,0,-1.2,0.73,-34,-58,20BA3608EE7D,2026-01-29T09:43:28.4512864Z
20BA36977463,6,13,0,-1.2,0.73,-34,-59,20BA3608EE7D,2026-01-29T09:43:28.6967265Z
20BA36977463,6,22,0,-1.2,0.73,-34,-57,20BA3608EE7D,2026-01-29T09:43:28.9430113Z
20BA36977463,6,21,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:29.192671Z
20BA36977463,5,21,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:29.4647084Z
20BA36977463,5,15,0,-1.2,0.73,-34,-55,20BA3608EE7D,2026-01-29T09:43:29.6928794Z
20BA36977463,5,36,0,-1.2,0.73,-34,-58,20BA3608EE7D,2026-01-29T09:43:29.9571536Z
20BA36977463,5,11,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:30.2232485Z
20BA36977463,5,24,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:30.4371952Z
20BA36977463,6,36,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:30.6827195Z
20BA36977463,6,28,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:30.9846517Z
20BA36977463,7,33,0,-1.2,0.73,-34,-60,20BA3608EE7D,2026-01-29T09:43:31.1825902Z
20BA36977463,7,32,0,-1.2,0.73,-34,-61,20BA3608EE7D,2026-01-29T09:43:31.4391286Z
20BA36977463,7,9,0,-1.2,0.73,-35,-55,20BA3608EE7D,2026-01-29T09:43:31.6964294Z
20BA36977463,7,36,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:31.9365095Z
20BA36977463,7,36,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:32.1911752Z
20BA36977463,7,4,0,-1.2,0.73,-34,-58,20BA3608EE7D,2026-01-29T09:43:32.4400644Z
20BA36977463,7,11,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:32.6854155Z
20BA36977463,8,1,0,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-29T09:43:32.948668Z
20BA36977463,8,24,0,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-29T09:43:33.1844966Z
20BA36977463,7,12,0,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-29T09:43:33.444656Z
20BA36977463,6,7,0,-1.2,0.73,-35,-55,20BA3608EE7D,2026-01-29T09:43:33.6885794Z
20BA36977463,6,22,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:33.9402115Z
20BA36977463,6,36,0,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-29T09:43:34.1940994Z
20BA36977463,7,31,0,-1.2,0.73,-35,-60,20BA3608EE7D,2026-01-29T09:43:34.4426003Z
20BA36977463,6,6,0,-1.2,0.73,-35,-55,20BA3608EE7D,2026-01-29T09:43:34.6963611Z
20BA36977463,6,6,0,-1.2,0.73,-34,-56,20BA3608EE7D,2026-01-29T09:43:34.9595712Z
20BA36977463,5,20,0,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-29T09:43:35.1958778Z
20BA36977463,5,19,0,-1.2,0.73,-35,-55,20BA3608EE7D,2026-01-29T09:43:35.5465904Z
20BA36977463,6,30,0,-1.2,0.73,-37,-59,20BA3608EE7D,2026-01-29T09:43:35.7068529Z
20BA36977463,6,29,0,-1.2,0.73,-37,-57,20BA3608EE7D,2026-01-29T09:43:35.941826Z
20BA36977463,6,13,0,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-29T09:43:36.1765808Z
20BA36977463,6,28,0,-1.2,0.73,-37,-57,20BA3608EE7D,2026-01-29T09:43:36.4429059Z
20BA36977463,6,33,0,-1.2,0.73,-35,-60,20BA3608EE7D,2026-01-29T09:43:36.7339227Z
20BA36977463,6,20,0,-1.2,0.73,-36,-56,20BA3608EE7D,2026-01-29T09:43:36.9523249Z
20BA36977463,7,1,0,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-29T09:43:37.221346Z
20BA36977463,7,28,0,-1.2,0.73,-36,-58,20BA3608EE7D,2026-01-29T09:43:37.4409744Z
20BA36977463,7,29,0,-1.2,0.73,-37,-57,20BA3608EE7D,2026-01-29T09:43:37.6850332Z
20BA36977463,7,7,0,-1.2,0.73,-36,-55,20BA3608EE7D,2026-01-29T09:43:37.944949Z
20BA36977463,6,18,0,-1.2,0.73,-36,-55,20BA3608EE7D,2026-01-29T09:43:38.2229932Z
20BA36977463,7,32,0,-1.2,0.73,-35,-61,20BA3608EE7D,2026-01-29T09:43:38.4421876Z
20BA36977463,6,6,0,-1.2,0.73,-34,-56,20BA3608EE7D,2026-01-29T09:43:38.7191666Z
20BA36977463,7,32,0,-1.2,0.73,-34,-61,20BA3608EE7D,2026-01-29T09:43:38.9387349Z
20BA36977463,6,18,0,-1.2,0.73,-34,-55,20BA3608EE7D,2026-01-29T09:43:39.1872781Z
20BA36977463,5,19,0,-1.2,0.73,-34,-55,20BA3608EE7D,2026-01-29T09:43:39.4427841Z
20BA36977463,5,12,0,-1.2,0.73,-34,-59,20BA3608EE7D,2026-01-29T09:43:39.703318Z
20BA36977463,5,36,0,-1.2,0.73,-34,-57,20BA3608EE7D,2026-01-29T09:43:39.948685Z
20BA36977463,5,7,0,-1.2,0.73,-34,-55,20BA3608EE7D,2026-01-29T09:43:40.1932356Z
20BA36977463,6,27,0,-1.2,0.73,-34,-56,20BA3608EE7D,2026-01-29T09:43:40.4328511Z
20BA36977463,6,30,0,-1.2,0.73,-35,-59,20BA3608EE7D,2026-01-29T09:43:40.7781628Z
20BA36977463,5,10,0,-1.2,0.73,-36,-56,20BA3608EE7D,2026-01-29T09:43:40.9578433Z
20BA36977463,6,31,0,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-29T09:43:41.2572583Z
20BA36977463,7,36,0,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-29T09:43:41.4316332Z
20BA36977463,7,32,0,-1.2,0.73,-35,-61,20BA3608EE7D,2026-01-29T09:43:41.7870955Z
20BA36977463,8,32,0,-1.2,0.73,-35,-61,20BA3608EE7D,2026-01-29T09:43:41.9713368Z
20BA36977463,8,27,0,-1.2,0.73,-35,-56,20BA3608EE7D,2026-01-29T09:43:42.216609Z
20BA36977463,7,13,0,-1.2,0.73,-34,-59,20BA3608EE7D,2026-01-29T09:43:42.4521246Z
20BA36977463,6,9,0,-1.2,0.73,-35,-55,20BA3608EE7D,2026-01-29T09:43:42.6826865Z
20BA36977463,6,6,0,-1.2,0.73,-34,-55,20BA3608EE7D,2026-01-29T09:43:42.9344869Z
20BA36977463,6,14,0,-1.2,0.73,-33,-59,20BA3608EE7D,2026-01-29T09:43:43.2933385Z
