anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA36977463,39,0,0,-0.6,1.13,-65,-65,20BA3608EE7D,2026-01-29T08:55:36.6224682Z
20BA36977463,37,22,0,-0.6,1.13,-64,-66,20BA3608EE7D,2026-01-29T08:55:36.7222262Z
20BA36977463,36,26,0,-0.6,1.13,-63,-64,20BA3608EE7D,2026-01-29T08:55:36.8200991Z
20BA36977463,39,19,0,-0.6,1.13,-65,-63,20BA3608EE7D,2026-01-29T08:55:36.928977Z
20BA36977463,43,19,0,-0.6,1.13,-66,-65,20BA3608EE7D,2026-01-29T08:55:37.02273Z
20BA36977463,46,2,0,-0.6,1.13,-67,-68,20BA3608EE7D,2026-01-29T08:55:37.1240536Z
20BA36977463,48,0,0,-0.6,1.13,-68,-65,20BA3608EE7D,2026-01-29T08:55:37.221465Z
20BA36977463,47,12,0,-0.6,1.13,-69,-70,20BA3608EE7D,2026-01-29T08:55:37.3230544Z
20BA36977463,45,24,0,-0.6,1.13,-68,-68,20BA3608EE7D,2026-01-29T08:55:37.417219Z
20BA36977463,48,9,0,-0.6,1.13,-70,-63,20BA3608EE7D,2026-01-29T08:55:37.5152328Z
20BA36977463,50,8,0,-0.6,1.13,-71,-63,20BA3608EE7D,2026-01-29T08:55:37.6131891Z
20BA36977463,47,14,0,-0.6,1.13,-68,-67,20BA3608EE7D,2026-01-29T08:55:37.7261606Z
20BA36977463,44,32,0,-0.6,1.13,-66,-62,20BA3608EE7D,2026-01-29T08:55:37.8214297Z
20BA36977463,41,14,0,-0.6,1.13,-63,-67,20BA3608EE7D,2026-01-29T08:55:38.0189631Z
20BA36977463,38,13,0,-0.6,1.13,-61,-73,20BA3608EE7D,2026-01-29T08:55:38.1165859Z
20BA36977463,36,5,0,-0.6,1.13,-60,-65,20BA3608EE7D,2026-01-29T08:55:38.2153897Z
20BA36977463,40,10,0,-0.6,1.13,-62,-64,20BA3608EE7D,2026-01-29T08:55:38.3243637Z
20BA36977463,37,31,0,-0.6,1.13,-61,-67,20BA3608EE7D,2026-01-29T08:55:38.4204735Z
20BA36977463,41,2,0,-0.6,1.13,-63,-71,20BA3608EE7D,2026-01-29T08:55:38.5179618Z
20BA36977463,40,27,0,-0.6,1.13,-63,-64,20BA3608EE7D,2026-01-29T08:55:38.6159084Z
20BA36977463,38,6,0,-0.6,1.13,-63,-64,20BA3608EE7D,2026-01-29T08:55:38.7171904Z
20BA36977463,36,33,0,-0.6,1.13,-62,-61,20BA3608EE7D,2026-01-29T08:55:38.8272304Z
20BA36977463,39,0,0,-0.6,1.13,-63,-66,20BA3608EE7D,2026-01-29T08:55:38.9252754Z
20BA36977463,43,17,0,-0.6,1.13,-65,-62,20BA3608EE7D,2026-01-29T08:55:39.0282286Z
20BA36977463,46,12,0,-0.6,1.13,-67,-71,20BA3608EE7D,2026-01-29T08:55:39.1188508Z
20BA36977463,45,8,0,-0.6,1.13,-68,-64,20BA3608EE7D,2026-01-29T08:55:39.2196934Z
20BA36977463,47,11,0,-0.6,1.13,-70,-66,20BA3608EE7D,2026-01-29T08:55:39.3162577Z
20BA36977463,45,4,0,-0.6,1.13,-68,-70,20BA3608EE7D,2026-01-29T08:55:39.4104089Z
20BA36977463,42,7,0,-0.6,1.13,-67,-64,20BA3608EE7D,2026-01-29T08:55:39.5275562Z
20BA36977463,45,36,0,-0.6,1.13,-69,-63,20BA3608EE7D,2026-01-29T08:55:39.6254003Z
20BA36977463,48,0,0,-0.6,1.13,-70,-66,20BA3608EE7D,2026-01-29T08:55:39.7197586Z
20BA36977463,50,35,0,-0.6,1.13,-71,-63,20BA3608EE7D,2026-01-29T08:55:39.8170877Z
20BA36977463,52,18,0,-0.6,1.13,-72,-63,20BA3608EE7D,2026-01-29T08:55:39.9218362Z
20BA36977463,55,18,0,-0.6,1.13,-73,-62,20BA3608EE7D,2026-01-29T08:55:40.0292095Z
20BA36977463,56,35,0,-0.6,1.13,-73,-63,20BA3608EE7D,2026-01-29T08:55:40.1257137Z
20BA36977463,55,23,0,-0.6,1.13,-73,-66,20BA3608EE7D,2026-01-29T08:55:40.2261184Z
20BA36977463,51,6,0,-0.6,1.13,-72,-65,20BA3608EE7D,2026-01-29T08:55:40.3405626Z
20BA36977463,53,11,0,-0.6,1.13,-73,-66,20BA3608EE7D,2026-01-29T08:55:40.4299126Z
20BA36977463,51,24,0,-0.6,1.13,-72,-68,20BA3608EE7D,2026-01-29T08:55:40.5302229Z
20BA36977463,48,26,0,-0.6,1.13,-71,-65,20BA3608EE7D,2026-01-29T08:55:40.6286905Z
20BA36977463,45,31,0,-0.6,1.13,-68,-66,20BA3608EE7D,2026-01-29T08:55:40.7272193Z
20BA36977463,43,23,0,-0.6,1.13,-68,-65,20BA3608EE7D,2026-01-29T08:55:40.8258174Z
20BA36977463,46,10,0,-0.6,1.13,-69,-64,20BA3608EE7D,2026-01-29T08:55:40.9243602Z
20BA36977463,44,16,0,-0.6,1.13,-69,-62,20BA3608EE7D,2026-01-29T08:55:41.0347685Z
20BA36977463,42,24,0,-0.6,1.13,-68,-68,20BA3608EE7D,2026-01-29T08:55:41.1219409Z
20BA36977463,45,10,0,-0.6,1.13,-70,-65,20BA3608EE7D,2026-01-29T08:55:41.2301773Z
20BA36977463,44,3,0,-0.6,1.13,-69,-75,20BA3608EE7D,2026-01-29T08:55:41.4226157Z
20BA36977463,44,33,0,-0.6,1.13,-69,-61,20BA3608EE7D,2026-01-29T08:55:41.7279646Z
20BA36977463,42,24,0,-0.6,1.13,-68,-70,20BA3608EE7D,2026-01-29T08:55:41.8264172Z
20BA36977463,40,6,0,-0.6,1.13,-67,-65,20BA3608EE7D,2026-01-29T08:55:41.9412044Z
20BA36977463,39,29,0,-0.6,1.13,-68,-68,20BA3608EE7D,2026-01-29T08:55:42.0348274Z
20BA36977463,42,2,0,-0.6,1.13,-69,-70,20BA3608EE7D,2026-01-29T08:55:42.1319469Z
