drone_x,drone_y,drone_z,anchor1_azimuth_error,anchor1_elevation_error,anchor2_azimuth_error,anchor2_elevation_error
0.0,-4.2,0.33,5.299363057324854,4.6390782952019265,5.876430178467615,5.568193943596384
0.0,-4.2,0.73,4.426497277676958,-10.96935135839712,-9.543360384394703,4.17294528113996
0.0,-4.2,1.13,9.188747731397456,-3.9721497857857173,-6.48318285673426,11.640644560813769
0.0,-3.6,0.33,0.20967741935484696,16.587706481559053,-1.2944364580186232,3.07274285113769
0.0,-3.6,0.73,4.882962962962949,-17.30304192117626,-4.733874172505466,-1.72831135903715
0.0,-3.6,1.13,12.475783475783487,-0.6361844949262547,-6.995533763921912,10.72870152543436
0.0,-3.0,0.33,3.1842650103519645,3.0184993177549018,11.670770258306618,-9.848861153189802
0.0,-3.0,0.73,2.7945619335347374,-4.059469081351807,-3.8882500090068675,-2.2852748493425565
0.0,-3.0,1.13,7.937308868501532,-4.375571348076647,-2.501995754090103,-10.558390683550925
0.0,-2.4,0.33,5.1339712918660325,34.11855019427014,12.84792626728111,15.597031371619664
0.0,-2.4,0.73,3.632034632034646,5.805458739523942,4.886462882096055,-9.042326068480662
0.0,-2.4,1.13,6.956666666666678,-5.209047078425897,1.7961672473867623,1.9646418478530734
0.0,-1.8,0.33,5.437037037037044,-0.5611421845303823,-3.606680765561265,3.5216976749335913
0.0,-1.8,0.73,5.5227272727272805,-4.741378867093914,1.8479196238660052,-4.056943553362316
0.0,-1.8,1.13,7.223602484472053,-5.057329782565233,6.352763689457731,-6.053427245644457
0.0,-1.2,0.33,6.599229287090566,-6.1054443195745876,6.31031433497273,2.752294917964491
0.0,-1.2,0.73,3.6702954898911457,-5.905741333231731,-0.9945672648933908,-1.4850350184310912
0.0,-1.2,1.13,5.051199999999994,-5.375214833672885,2.377654825502532,15.391128544863875
0.0,-0.6,0.33,10.015053763440847,-4.720389052725864,-4.409484014752536,15.219339109122785
0.0,-0.6,0.73,6.286945812807886,-3.0910395636659587,-21.451338231419925,13.598709854977926
0.0,-0.6,1.13,46.93718166383701,-12.729424504421587,-3.4724070511046534,18.800620766389443
0.6,-4.2,0.33,9.569255793309424,-4.118526724819645,2.616750395442722,-1.9119673940302278
0.6,-4.2,0.73,6.883287067531768,-1.4728011158848062,-1.545364707196569,-6.292700709699602
0.6,-4.2,1.13,7.262594467720646,0.5008826762419574,-2.575715706847575,-9.698654916544427
0.6,-3.6,0.33,1.0721487976209971,-1.7784838243399577,0.5308790554801419,9.629009327286838
0.6,-3.6,0.73,2.046406292109708,6.554209675823273,-4.26159205758114,2.9325007116438826
0.6,-3.6,1.13,5.015033051399115,-0.20917977570343282,-3.5144559389827634,-12.114004276962106
0.6,-3.0,0.33,5.42627596432493,-1.2286987233688365,0.15647807203205844,1.4969415400124149
0.6,-3.0,0.73,4.663999459666144,-2.557375879107383,-2.9352303831036295,-8.944546572995279
0.6,-3.0,1.13,6.72421818830594,-4.3154889452056295,-5.405356532073512,-1.2217140043572954
0.6,-2.4,0.33,8.873924627346781,0.9778021408863538,4.959162183215824,1.3342785465776217
0.6,-2.4,0.73,4.789626926573106,5.706705333871241,2.845027727290301,-9.447700131538937
0.6,-2.4,1.13,6.953784697311789,-2.1234077038045314,9.688138068441702,-13.526947494865624
0.6,-1.8,0.33,4.904894178113267,-2.04881356982321,5.902506963788312,-3.259823734950885
0.6,-1.8,0.73,5.281686303953876,-0.7679167571211565,-0.75,0.09452819884535302
0.6,-1.8,1.13,8.639340714813898,0.38285209304248724,-2.349315068493155,-3.881774809762817
0.6,-1.2,0.33,5.256445835831698,-1.0360169624991897,12.32164647334821,11.97435377774454
0.6,-1.2,0.73,6.076536628839108,-2.455077306902524,-3.18653503812277,2.1417795341253623
0.6,-1.2,1.13,11.57831817541961,-1.3153918262422337,13.326431162343425,2.1502346702650357
0.6,-0.6,0.33,-0.17937219730941933,-2.98841735865318,0.7246039953357979,0.7699352524869596
0.6,-0.6,0.73,-1.2451994091580332,-2.4064132554304365,-28.510534043121595,14.83675424917081
0.6,-0.6,1.13,1.0747217806041363,-0.41358072699364357,-0.3963011770779872,1.982683174123565
1.2,-4.2,0.33,0.45359262223433916,12.990181408391038,-0.7369649875739128,4.32273410159948
1.2,-4.2,0.73,5.880460835987776,-1.785022276344506,0.3930894159241234,-17.7116767655956
1.2,-4.2,1.13,10.250129628733504,6.601829716294532,-6.030116021951585,7.9399000597762495
1.2,-3.6,0.33,5.859542790439406,5.779833180158931,0.6493885264755761,1.4471968343115122
1.2,-3.6,0.73,3.1616041709695537,-0.3197543776917371,-3.9901488229220092,-16.398925854771505
1.2,-3.6,1.13,7.969941046872236,6.038215741069479,0.6255655492413723,-8.526386645154332
